Player Name,Credits,Player Type,Team,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
Akash Deep,7,BOWL,LSG,1.5,0.5,9.5,17,8.5,5,156.25,0,0,1,0.5,0.5,0,1.5,25.5,57,1,0,57,13.755,25.5,0,0
Akash Madhwal,7,BOWL,RR,5,1,4,0,0,5,80,0,0,0,0,1,0,5,109,205,5,0,41,11.28,21.8,0,0
Akash Singh,6,BOWL,LSG,3,0,0,0,0,0,0,0,0,0,0,0.5,0,3.5,69,113.5,2.5,0,18.8,9.82,11.4,0,0
Andre Russell,8.5,ALL,KKR,129,20,488,88,28.93,123,174.84,0,11,171,209,36,0,129,1697,2646,115,42125,23.01,9.36,14.76,2,1
Andre Siddharth,5.5,BAT,CHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angkrish Raghuvanshi,6.5,BAT,KKR,10,0.5,263,54,23.29,105,155.24,0,1,16,8,4,0,10,0,0,0,0,0,0,0,0,0
Aniket Verma,5,BAT,SRH,12,3,180,0,20,150,120,0,1,16,8,3,0,0,0,0,0,0,0,0,0,0,0
Anrich Nortje,8,BOWL,KKR,46,9,49,23,8.17,49,100,0,0,6,0,10,0,46,1054,1574,60,12114,26.23,8.96,17.57,0,0
Anshul Kamboj,6,BOWL,CHE,3,1,2,0,0,2,100,0,0,0,0,3,0,3,60,114,2,0,57,11.4,30,0,0
Anuj Rawat,6.5,WK,GT,7.333333333,1.666666667,106,57,23.65333333,88.66666667,121.5866667,0,0.333333333,8.666666667,4.666666667,4.666666667,0,7.333333333,0,0,0,0,0,0,0,0,0
Anukul Sudhakar Roy,6,ALL,KKR,11,3,26,13,8.67,24,108.33,0,0,3,0,5,0,11,136,191,5,43497,38.2,8.43,27.2,0,0
Arjun Tendulkar,5,BOWL,MI,4,0,13,13,13,9,144.44,0,0,0,1,0,0,4,59,92,3,0,30.67,9.36,19.67,0,0
Arshad Khan,5.5,ALL,GT,123,23,551,79,14.5,341,161.58,0,1,39,39,42,0,123,2895,3310,150,4\25,22.07,6.86,19.3,2,0
